ExpID;MeasureDate;LeafID;An;Ci;PPFD;PhiPS2
GC1;04.11.2016;n1-m-a1-l5;-1.07841693;397.4224433;39.96951294;0.743992783
GC1;04.11.2016;n1-m-a1-l5;-0.220289838;393.8330365;30.4788208;0.747905551
GC1;04.11.2016;n1-m-a1-l5;-3.362057878;412.3526206;0.578494787;0.773098704
GC1;04.11.2016;n2-l-a1-l4;8.965242398;323.0786659;1298.721924;0.118510119
GC1;04.11.2016;n2-l-a1-l4;9.33630342;329.6590001;999.4383545;0.163318957
GC1;04.11.2016;n2-l-a1-l4;7.725396478;299.2773544;500.9710388;0.297619384
GC1;04.11.2016;n2-l-a1-l4;4.139668251;353.8992186;200.6707916;0.496478531
GC1;04.11.2016;n2-l-a1-l4;3.745321396;344.7704863;124.3779907;0.604683906
GC1;04.11.2016;n2-l-a1-l4;3.151901825;356.7487198;98.59220123;0.643573467
GC1;04.11.2016;n2-l-a1-l4;1.920710616;372.8359795;80.53781891;0.6648695
GC1;04.11.2016;n2-l-a1-l4;1.90031302;373.9443185;58.97307968;0.678748132
GC1;04.11.2016;n2-l-a1-l4;0.082331351;390.6809549;40.68119812;0.689545646
GC1;04.11.2016;n2-l-a1-l4;0.784533722;385.1752138;31.23594475;0.694383538
GC1;04.11.2016;n2-l-a1-l4;-1.767933853;415.6825586;0.487590194;0.739137453
GC1;04.11.2016;n1-l-a1-l4;8.694266994;348.1565701;1301.940308;0.116537266
GC1;04.11.2016;n1-l-a1-l4;6.93827255;325.1328417;998.534729;0.153961951
GC1;04.11.2016;n1-l-a1-l4;5.72895503;331.8842746;500.7130432;0.278066019
GC1;04.11.2016;n1-l-a1-l4;4.255392422;339.7753492;200.6195984;0.427355186
GC1;04.11.2016;n1-l-a1-l4;3.622857656;348.842546;124.2638702;0.605180628
GC1;04.11.2016;n1-l-a1-l4;2.893909702;352.2532316;98.52264404;0.638117346
GC1;04.11.2016;n1-l-a1-l4;2.427026368;360.1593837;80.48193359;0.646645829
GC1;04.11.2016;n1-l-a1-l4;1.563589951;373.7404331;58.7767868;0.670096024
GC1;04.11.2016;n1-l-a1-l4;0.177195854;389.9258498;40.55343246;0.682757893
GC1;04.11.2016;n1-l-a1-l4;0.736354613;379.5517101;31.03708267;0.689769527
GC1;04.11.2016;n1-l-a1-l4;-1.43258202;414.3801464;0.447033882;0.73655918
GC1;04.11.2016;n3-l-a1-l4;15.76012452;319.9347399;1301.158569;0.186128813
GC1;04.11.2016;n3-l-a1-l4;15.68431649;310.2254123;1001.929077;0.263015502
GC1;04.11.2016;n3-l-a1-l4;14.25729819;319.2757883;500.2699585;0.439857337
GC1;04.11.2016;n3-l-a1-l4;7.825250068;342.0763768;200.4757385;0.614590603
GC1;04.11.2016;n3-l-a1-l4;5.194004961;362.1230413;124.3102264;0.662359792
GC1;04.11.2016;n3-l-a1-l4;3.559229722;368.173867;98.60532379;0.687273288
GC1;04.11.2016;n3-l-a1-l4;3.267802821;368.0820586;80.64219666;0.701704918
GC1;04.11.2016;n3-l-a1-l4;1.615234669;381.6918555;58.95842743;0.716528553
GC1;04.11.2016;n3-l-a1-l4;1.79422678;376.0487704;40.75022888;0.724617265
GC1;04.11.2016;n3-l-a1-l4;0.89235958;387.719452;31.18250084;0.726753759
GC1;04.11.2016;n3-l-a1-l4;-0.861475806;402.9776123;0.513760924;0.761297227
GC1;04.11.2016;n3-h-a1-l6;28.30642524;305.9265908;1300.446167;0.396278545
GC1;04.11.2016;n3-h-a1-l6;25.8412072;272.738338;999.7254639;0.486520821
GC1;04.11.2016;n3-h-a1-l6;18.02713499;315.2810151;501.1735229;0.621608903
GC1;04.11.2016;n3-h-a1-l6;7.443333906;352.3636154;200.7250519;0.698167611
GC1;04.11.2016;n3-h-a1-l6;4.076866004;367.5704708;124.2138824;0.71006075
GC1;04.11.2016;n3-h-a1-l6;2.459109881;375.2667857;98.45764923;0.716197902
GC1;04.11.2016;n3-h-a1-l6;1.203338245;382.2759889;80.45907593;0.720526074
GC1;04.11.2016;n3-h-a1-l6;-0.065425234;390.9860917;58.76525116;0.728745997
GC1;04.11.2016;n3-h-a1-l6;-0.755322556;397.4692561;40.503479;0.735241343
GC1;04.11.2016;n3-h-a1-l6;-1.401299313;403.7898934;30.97545242;0.738533269
GC1;04.11.2016;n3-h-a1-l6;-3.878435603;430.0161946;0.699714422;0.765776557
GC1;04.11.2016;n1-h-a1-l6;27.21228608;318.9881217;1298.445801;0.360244189
GC1;04.11.2016;n1-h-a1-l6;23.64092631;293.663728;999.0204468;0.445131927
GC1;04.11.2016;n1-h-a1-l6;17.0043258;328.3728625;500.4340515;0.593666248
GC1;04.11.2016;n1-h-a1-l6;6.629520435;346.6996444;199.7246399;0.681100145
GC1;04.11.2016;n1-h-a1-l6;3.887744876;373.0746462;123.5747604;0.708765231
GC1;04.11.2016;n1-h-a1-l6;2.636765177;375.0514161;101.617981;0.71834901
GC1;04.11.2016;n1-h-a1-l6;1.252546329;382.8523182;79.89174652;0.727243349
GC1;04.11.2016;n1-h-a1-l6;-1.460034055;402.8566521;61.59864044;0.727295917
GC1;04.11.2016;n1-h-a1-l6;-0.221359004;394.1682627;39.89904404;0.741750671
GC1;04.11.2016;n1-h-a1-l6;-2.005510135;409.176519;30.3309536;0.745659643
GC1;04.11.2016;n1-h-a1-l6;-3.829214937;424.8602189;0.657602072;0.775889895
GC1;04.11.2016;n2-h-a1-l6;30.32129573;290.6906464;1299.384155;0.410817205
GC1;04.11.2016;n2-h-a1-l6;28.13303549;258.7135356;999.5516357;0.500631845
GC1;04.11.2016;n2-h-a1-l6;20.22021957;315.6144544;501.3793335;0.630783014
GC1;04.11.2016;n2-h-a1-l6;7.796824488;358.6520427;201.0625458;0.701706096
GC1;04.11.2016;n2-h-a1-l6;3.525112523;373.3875102;124.5890961;0.710380726
GC1;04.11.2016;n2-h-a1-l6;1.900524189;381.1138418;98.85279083;0.716514357
GC1;04.11.2016;n2-h-a1-l6;0.863355531;386.7278294;80.87732697;0.721522049
GC1;04.11.2016;n2-h-a1-l6;0.060809619;390.9745573;59.14470291;0.730682674
GC1;04.11.2016;n2-h-a1-l6;-2.004089022;403.8628958;40.77434921;0.737734614
GC1;04.11.2016;n2-h-a1-l6;-0.766301677;397.6980292;31.31265068;0.741062944
GC1;04.11.2016;n2-h-a1-l6;-3.929919001;423.209351;0.664642215;0.773839927
GC1;08.11.2016;n1-m-a1-l4;19.98488285;267.6706559;1300.663696;0.303796033
GC1;08.11.2016;n1-m-a1-l4;20.36879347;298.0546613;1001.9328;0.394027812
GC1;08.11.2016;n1-m-a1-l4;17.22896192;303.6418059;500.5315552;0.551791828
GC1;08.11.2016;n1-m-a1-l4;8.453662688;337.760088;200.6928406;0.639732875
GC1;08.11.2016;n1-m-a1-l4;5.390307538;361.0267896;124.450531;0.671782643
GC1;08.11.2016;n1-m-a1-l4;4.359549931;362.8897541;98.69825745;0.692280189
GC1;08.11.2016;n1-m-a1-l4;2.777854519;370.3421455;80.70716858;0.708288473
GC1;08.11.2016;n1-m-a1-l4;1.490445965;382.7848427;58.96376038;0.724317069
GC1;08.11.2016;n1-m-a1-l4;0.143332999;390.5940382;40.85351181;0.73626443
GC1;08.11.2016;n1-m-a1-l4;-0.266302499;393.5150404;31.34153938;0.739340716
GC1;08.11.2016;n1-m-a1-l4;-2.379366433;413.9594109;0.606741965;0.789576264
GC1;08.11.2016;n2-m-a1-l4;23.6186695;312.2895209;1299.084595;0.304209675
GC1;08.11.2016;n2-m-a1-l4;21.55989124;307.4373991;998.3934937;0.373369253
GC1;08.11.2016;n2-m-a1-l4;17.50602203;316.6555886;500.7303772;0.544960057
GC1;08.11.2016;n2-m-a1-l4;10.2178124;342.0056892;200.8574829;0.64557411
GC1;08.11.2016;n2-m-a1-l4;6.069789032;358.7631606;124.5198059;0.680407691
GC1;08.11.2016;n2-m-a1-l4;4.542388142;363.6718083;98.79685211;0.700343284
GC1;08.11.2016;n2-m-a1-l4;3.515495093;368.1136784;80.78096771;0.712969035
GC1;08.11.2016;n2-m-a1-l4;0.926576906;386.7665764;59.00314713;0.726388001
GC1;08.11.2016;n2-m-a1-l4;1.135908668;384.7132982;40.87042618;0.735799355
GC1;08.11.2016;n2-m-a1-l4;0.525294511;388.7137555;31.36335182;0.739088161
GC1;08.11.2016;n2-m-a1-l4;-1.957074009;408.2386233;0.667437315;0.776326811
GC1;08.11.2016;n3-m-a1-l7;24.73202089;302.8352445;1298.051025;0.344930344
GC1;08.11.2016;n3-m-a1-l7;22.31984966;287.0678133;998.6953125;0.414071711
GC1;08.11.2016;n3-m-a1-l7;17.19802974;299.5899;500.6713867;0.559468118
GC1;08.11.2016;n3-m-a1-l7;7.165694145;352.3738865;200.3882599;0.659119705
GC1;08.11.2016;n3-m-a1-l7;3.737593908;371.036718;124.0347214;0.692124682
GC1;08.11.2016;n3-m-a1-l7;3.730748152;367.7527013;98.3688736;0.704334301
GC1;08.11.2016;n3-m-a1-l7;2.440280587;373.4604288;80.24691772;0.714444178
GC1;08.11.2016;n3-m-a1-l7;1.431423829;378.6453004;58.42763138;0.724029568
GC1;08.11.2016;n3-m-a1-l7;0.428209813;387.0401787;40.26131821;0.730450538
GC1;08.11.2016;n3-m-a1-l7;0.139904025;389.8183879;30.71026993;0.733403848
GC1;08.11.2016;n3-m-a1-l7;-1.995318087;415.3519468;0.557510912;0.768961497
GC1;08.11.2016;n3-l-a1-l3;13.55526734;320.3000785;1300.889648;0.179903186
GC1;08.11.2016;n3-l-a1-l3;12.78734026;310.2743047;1001.993042;0.237936576
