ExpID;MeasureDate;PlantID;VarietyID;LightID;NitrogenID;LeafNo;EA_degree;LA_cm2
GH1;10.05.2017;321;A;H;L;24;0.974701327;183.4521266
GH1;10.05.2017;321;A;H;L;25;43.51387556;82.62045752
GH1;10.05.2017;211;A;L;L;1;-10.08038463;205.6353852
GH1;10.05.2017;211;A;L;L;2;-15.98067958;477.7613304
GH1;10.05.2017;211;A;L;L;3;18.82723401;968.4646567
GH1;10.05.2017;211;A;L;L;4;-66.93200108;634.8346577
GH1;10.05.2017;211;A;L;L;5;-49.912085;876.546526
GH1;10.05.2017;211;A;L;L;6;-44.85931291;863.0931494
GH1;10.05.2017;211;A;L;L;7;-44.95616982;906.0519936
GH1;10.05.2017;211;A;L;L;8;-57.10080753;905.1197364
GH1;10.05.2017;211;A;L;L;9;-64.306203;918.3082724
GH1;10.05.2017;211;A;L;L;10;-63.99248323;965.6283758
GH1;10.05.2017;211;A;L;L;11;-56.31739906;930.8964868
GH1;10.05.2017;211;A;L;L;12;-61.30579766;886.7578672
GH1;10.05.2017;211;A;L;L;13;-81.27258808;1006.549984
GH1;10.05.2017;211;A;L;L;14;-74.16107484;952.2533848
GH1;10.05.2017;211;A;L;L;15;-68.93216601;940.1225104
GH1;10.05.2017;211;A;L;L;16;-63.07562919;720.4139079
GH1;10.05.2017;211;A;L;L;17;-74.27596541;700.884835
GH1;10.05.2017;211;A;L;L;18;-53.286191;685.3947545
GH1;10.05.2017;211;A;L;L;19;-79.53032957;705.1596131
GH1;10.05.2017;211;A;L;L;20;-59.28845364;662.7385566
GH1;10.05.2017;211;A;L;L;21;-46.8070902;660.7856869
GH1;10.05.2017;211;A;L;L;22;-66.15086607;1340.858638
GH1;10.05.2017;211;A;L;L;23;-48.44561645;932.2068634
GH1;10.05.2017;312;A;L;H;1;25.6606266;155.4016896
GH1;10.05.2017;312;A;L;H;2;-23.20276623;335.8226863
GH1;10.05.2017;312;A;L;H;3;-22.5084896;554.4091703
GH1;10.05.2017;312;A;L;H;4;-65.33965882;627.7647257
GH1;10.05.2017;312;A;L;H;5;-74.68467588;854.5688103
GH1;10.05.2017;312;A;L;H;6;-57.58129318;828.7915022
GH1;10.05.2017;312;A;L;H;7;-59.73130795;988.5689353
GH1;10.05.2017;312;A;L;H;8;-64.35101139;948.0860241
GH1;10.05.2017;312;A;L;H;9;-68.31850361;974.640297
GH1;10.05.2017;312;A;L;H;10;-70.20379348;1033.60251
GH1;10.05.2017;312;A;L;H;11;-69.75354974;872.9093869
GH1;10.05.2017;312;A;L;H;12;-81.15903763;910.8163812
