ExpID;LeafID;VarietyID;LightID;NitrogenID;AppearanceDate;HarvestDate;LightLevel_mol_m2_d;NitrogenLevel_Mm;MeanTemp_oC;SPAD;LeafArea_cm2;DryMass_g;TotalN_mg_g;Chl_a_mg_g;Chl_b_mg_g
GC1;n2-m-a3-l4;A;2;2;25.10.2016;29.11.2016;14;5;22.3;25.4566931;1210.291716;7.01915884;30.06104532;4.87147544;2.011117729
GC1;n3-m-a1-l7;A;2;3;30.10.2016;08.11.2016;17.2;10;22.3;40.86191944;754.249393;3.150956562;62.15874182;11.71122596;3.660798689
GC1;n1-h-a1-l5;A;3;1;27.10.2016;08.11.2016;33.4;2.5;22.4;31.5005695;963.6876468;5.396954705;40.48771766;6.993322008;1.99135992
GC1;n3-h-a4-l10;A;3;3;02.11.2016;02.12.2016;25.1;10;22.4;38.4499651;929.2479496;7.298813398;50.8428612;7.884089448;2.843946245
GC1;n3-l-a4-l8;A;1;3;02.11.2016;06.12.2016;3.8;10;21.4;45.02498394;1435.528668;4.920305816;43.55268126;13.00154729;3.917194689
GC1;n2-m-a4-l10;A;2;2;02.11.2016;02.12.2016;13.1;5;22.3;31.02571752;1137.417566;7.167694942;24.31993077;6.463005565;2.416245448
GC1;n3-h-a3-l8;A;3;3;30.10.2016;22.11.2016;26;10;22.4;24.89367209;1108.005451;10.52842646;47.82327665;4.690493405;1.754309387
GC1;n2-l-a1-l5;A;1;2;28.10.2016;01.11.2016;5.1;5;21.4;27.64275301;14.67287567;0.105477149;69.54729208;8.023032068;2.90719038
GC1;n2-h-a3-l10;A;3;2;01.11.2016;22.11.2016;27.7;5;22.4;37.1066892;1106.430839;7.060354445;38.71457168;8.597708569;3.362537454
GC1;n2-m-a1-l4;A;2;2;24.10.2016;08.11.2016;15.6;5;22.3;42.39506405;1092.634135;3.701450035;54.50374453;12.41102878;3.935275439
